Dataset Group,chemllm,gemma,gpt,llama,mistral,qwen
acids,66.17% (2418/3654),72.88% (2663/3654),72.88% (2663/3654),70.74% (2585/3654),60.89% (2225/3654),60.92% (2226/3654)
amphoterics_pka,56.58% (86/152),67.76% (103/152),65.79% (100/152),69.74% (106/152),57.89% (88/152),60.53% (92/152)
amphoterics_pkah,38.74% (43/111),54.05% (60/111),49.55% (55/111),44.14% (49/111),47.75% (53/111),61.26% (68/111)
bases,47.27% (2006/4244),45.83% (1945/4244),62.63% (2658/4244),52.90% (2245/4244),39.87% (1692/4244),46.35% (1967/4244)
OVERALL,55.79% (4553/8161),58.46% (4771/8161),67.10% (5476/8161),61.08% (4985/8161),49.72% (4058/8161),53.34% (4353/8161)
